Date,Ticker,TickerOriginal,TickerSerie,NomeResumido,Open,High,Low,Average,Close,BestBid,BestAsk,Trades,Volume,FinancialVolume,MarketType,Currency
2018-01-02,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.6,17.72,17.35,17.58,17.72,17.72,17.74,4385,1393900,24510991.0,010,R$
2018-01-03,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.71,17.9,17.56,17.8,17.9,17.9,17.93,2401,2736300,48712380.0,010,R$
2018-01-04,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.9,17.95,17.7,17.85,17.9,17.9,17.93,1282,1305200,23310158.0,010,R$
2018-01-05,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.85,17.94,17.75,17.81,17.8,17.8,17.85,2545,1063300,18944250.0,010,R$
2018-01-08,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.83,17.87,17.61,17.72,17.8,17.66,17.8,1648,800000,14177888.0,010,R$
2018-01-09,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.85,17.85,17.6,17.64,17.6,17.6,17.65,1771,1186300,20936769.0,010,R$
2018-01-10,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.5,17.75,17.3,17.59,17.6,17.6,17.65,1165,779500,13713273.0,010,R$
2018-01-11,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.65,17.93,17.65,17.76,17.85,17.85,17.9,932,551400,9796743.0,010,R$
2018-01-12,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.89,18.03,17.71,17.94,18.0,17.98,18.03,2769,894400,16048305.0,010,R$
2018-01-15,BKBR3,BKBR3,ZAMP3,BK BRASIL,18.0,18.02,17.72,17.83,17.75,17.72,17.75,483,169900,3029873.0,010,R$
2018-01-16,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.72,17.9,17.53,17.71,17.73,17.58,17.73,520,341100,6042641.0,010,R$
2018-01-17,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.61,17.75,17.57,17.65,17.65,17.6,17.65,1002,1187900,20975347.0,010,R$
2018-01-18,BKBR3,BKBR3,ZAMP3,BK BRASIL,17.75,17.75,17.14,17.51,17.68,17.26,17.68,2335,1129900,19794499.0,010,R$
